"ID","ProName","class1","class2","class3","SmallPic","BigPic","DownURL","About","ProInfo","ProNo","ProPrice","ProPrice2","IsTop","IsHot","AddDate","orderid","ViewNumber","IsNewPro","issale","ordernum","color","Units","Video_URL","num"
133,"HIUMAN CHAU 2011FW",452,530,0,,,,"摄影棚 515 摄影 Yuki_He 化妆 陈菲菲  品牌 HIUMAN CHAU  模特 陈宇 esee","<p><img width=""800"" height=""1162"" alt="""" src=""/A_UpLoad/image/2012032123411676.jpg"" /></p>","515",0,0,0,0,"2012/1/8, 15:52:23",4,0,0,0,0,,,,10
134,"21 Century Center",452,526,0,,,,"21 Century Center Advertising 摄影棚 515 摄影 Yuki_He 化妆 陈菲菲  ","<p>&nbsp;<img src=""/A_UpLoad/image/2012032017521736.jpg"" width=""700"" height=""451"" alt="""" /></p>","515",0,0,0,0,"2012/2/6, 12:41:32",19,0,0,0,0,,,,10
135,"SHANGHAI HOME EXPO",452,526,0,,,,"剪刀石头布TVC平面广告 摄影 Yuki_He 化妆 陈菲菲<br/>","<p><img alt="""" src=""/A_UpLoad/image/2012020613394589.jpg"" /></p>","515",0,0,0,0,"2012/2/6, 13:31:18",6,0,0,0,0,,,,10
138,"Studio515 摄影棚",142,0,0,,,,,"<p style=""text-align: left;""><span style=""font-size: larger;"">&nbsp;&nbsp;&nbsp;&nbsp;<img src=""/A_UpLoad/image/2014070813350292.jpg"" alt="""" width=""650"" height=""432"" />&nbsp; <br />
&nbsp;&nbsp;&nbsp;&nbsp; <br />
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 作为上海首屈一指的摄影棚 Studio515不仅提供理想的拍摄场地 器材租赁 各类商业摄影拍摄服务也一应俱全 能为所有来工作的客户提供愉快的拍摄体验 Studio515坐落于上海市区 靠近上海火车站 拥有市中心大型的专业摄影场地 总面积超过1300平方 内设3个摄影棚 确保满足各种不同规模的拍摄需要&nbsp; 环境优良， 3个影棚面积分别是300平方的旗舰棚Studio-A 150平方的Studio-B和260平方的Studioio-C&nbsp; 旗舰A棚拥有10米*8.5米 层高6米的超大无影墙 开放式的布光空间纵深可达16米 棚内设有办公区 会议区 休息区 化妆区 更衣棚等 并为摄影师提供各种专业器材 并使拍摄更为专业。<br />
<br />
进口器材：Broncolor （Grafit A4 Scoro S）&nbsp; Profoto（Pro10 8A D1 B2 B3）等各类进口摄影灯&nbsp; 苹果Imac 5K高配电脑&nbsp; 苹果MacBookPro高配笔记本&nbsp; 苹果27寸2K 5K专业显示器，佳能5d4 5ds相机及各类镜头<br />
<br />
国产器材：金贝P1200W&nbsp; P600W 不同瓦数灯光及灯具附件 配备重型摇臂灯架 专业器材一应俱全，十几色背景纸 多位专业摄影助理。<br />
<br />
配套设备：全自动咖啡机 饮水机，Bose音响，无线宽带，电脑，复印传真机，微波炉，冰箱， 提供冷热饮，包括可乐、咖啡 ，5台5P柜式冷暖大金空调。<br />
<br />
适合拍摄：各种消费电子品、食品、日 用品、工业品、家具、家电、服装、人像、时尚大片、影视tvc拍摄等绝佳之选。<br />
<br />
<br />
影棚位于上海市区内环边上 上海火车站板块 地铁1号线延长路站 交通十分便利 创意园区内配套汉庭经济型酒店和立体停车库</span><span style=""font-size: medium;""><span style=""font-family: 宋体;""> <br />
</span></span></p>
<p><span style=""font-size: medium;""><span style=""font-family: 宋体;""> </span></span></p>
<h3><span style=""color: rgb(255, 102, 0);"">Studio515 AB棚地址：上海市静安区洛川中路840号E构空间创意园D栋4楼 （近普善路）<br />
</span></h3>
<h3><span style=""color: rgb(255, 102, 0);"">Studio515 C棚地址：上海市静安区洛川中路1158号名士街创意园B1北二区515室 （近沪太路）</span></h3>
<h3><span style=""color: rgb(255, 102, 0);"">Studio515 Office地址：上海市静安区洛川中路840号E构空间创意园E栋3楼 （近普善路）</span></h3>
<h3><span style=""color: rgb(255, 102, 0);""> <br />
联系电话 13818198787 021-56831983 联系人 Yuki</span><br />
<br />
<img src=""/A_UpLoad//2014052408141732.jpg"" alt="""" width=""650"" height=""399"" /><br />
<span style=""font-size: medium;""><span style=""font-family: 宋体;""> </span></span></h3>","515workshop",0,0,0,0,"2012/2/14, 16:28:28",6,0,0,0,0,,,,10
143,"S/S TONY JEANS LOOKBOOK",452,530,0,,,," S/S TONY JEANS LOOKBOOK 摄影棚 515 摄影 Yuki_He 化妆 陈菲菲  服装造型 小雄","<p><img src=""/A_UpLoad//2012030917423752.jpg"" alt="""" width=""700"" height=""461"" /></p>","515",0,0,0,0,"2012/3/6, 16:56:32",25,0,0,0,0,,,,10
144,"《Femina 》",452,528,0,,,,"摄影棚：515workshop   摄影师：Yuki He  插画：官纯","<p>&nbsp;</p>
<p style=""text-align: left""><img src=""/A_UpLoad//2012030917362426.jpg"" width=""700"" height=""429"" align=""left"" alt="""" /><br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
&nbsp;</p>
<p style=""text-align: left"">&nbsp;</p>
<p style=""text-align: left"">&nbsp;</p>
<p style=""text-align: left"">&nbsp;</p>
<p style=""text-align: left"">&nbsp;</p>
<p style=""text-align: left"">&nbsp;</p>
<p style=""text-align: left""><br />
&nbsp;&nbsp;</p>
<p><img src=""/A_UpLoad//2012030917370716.jpg"" width=""700"" height=""429"" align=""left"" alt="""" /></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;<br />
<br />
<br />
<img src=""/A_UpLoad//2012030917372630.jpg"" alt="""" width=""800"" height=""490"" align=""left"" /></p>","515",0,0,0,0,"2012/3/9, 17:37:33",9,0,0,0,0,,,,10
146,"Studio515 租赁价格",142,0,0,,,,"上海市区1000平方双商业影棚租赁 ","<p><span style=""color: rgb(255, 102, 0);"">Studio A:</span></p>
<p>L16m * W16.5m * H6m 300m&sup2; ( 4F / 四层 ) L10m * W8.5m * H6m Cyclorama 无影墙<br />
<br />
平面拍摄 Picture shooting<br />
<br />
<span style=""color: rgb(255, 0, 0);"">&yen;5000 / Day(10hrs)<br />
<br />
&yen;4000 / Half day(5 hrs) <br />
<br />
&yen;500 / Hrs(超时、搭建)</span><br />
<br />
影视拍摄 Video shooting<br />
<br />
<span style=""color: rgb(255, 0, 0);"">&yen;6000 / Day(10hrs)<br />
<br />
&yen;5000 / Half day(5 hrs) <br />
<br />
&yen;600 / Hrs(超时、搭建)</span><br />
<br />
<br />
Air conditioner/冷暖空调<br />
<br />
Makeup area/化妆区域<br />
<br />
Meeting area/休息区域<br />
<br />
Coffee machine/咖啡机<br />
<br />
Power 380V/220V<br />
<br />
WIFI/无线网络<br />
<br />
<br />
All rates is not including tax , will add 10% if VAT FAPIAO is needed.<br />
<br />
所有的报价均不包含增值税税金,如需开具增值税发票,将额外收取10%的税金。<br />
<br />
Flat shooting free equipment:C-Stand、2 Super boom、6 JinBei、Equipment accessory.<br />
<br />
免费提供的器材:c形灯架、2个挑杆、6个国产灯,各类灯具附件。</p>
<p><br />
<span style=""color: rgb(255, 102, 0);"">Studio515 </span><span style=""color: rgb(255, 102, 0);""><span style=""color: rgb(255, 102, 0);"">AB棚</span>地址：上海市静安区洛川中路840号E构空间创意园D栋4楼（近普善路 ）</span> 影棚位于上海市区内环边上 地铁1号线延长路站 交通十分便利。<br />
<br />
租赁联系：13818198787&nbsp; YUKI</p>
<p><br />
<br />
<img alt="""" src=""/A_UpLoad//2016011822501649.jpg"" width=""650"" height=""460"" /><br />
<br />
<img src=""/A_UpLoad//2014052118081943.jpg"" alt="""" width=""650"" height=""432"" /><br />
<br />
<img src=""/A_UpLoad//2014052118202949.jpg"" alt="""" width=""650"" height=""432"" /><br />
<br />
<img src=""/A_UpLoad//2014052117492153.jpg"" alt="""" width=""650"" height=""432"" /><br />
<br />
<img src=""/A_UpLoad//2014052118091866.jpg"" alt="""" width=""650"" height=""432"" /><br />
<br />
<img src=""/A_UpLoad//2014052117513317.jpg"" alt="""" width=""650"" height=""432"" /><br />
<br />
<span style=""color: rgb(255, 102, 0);"">Studio B：</span></p>
<p>L12m * W10m * H6m 150m&sup2; (4F / 四层) L8m * W5m * H6m Cyclorama 无影墙<br />
<br />
平面拍摄 Picture shooting<br />
<br />
<span style=""color: rgb(255, 0, 0);"">&yen;3500 / Day(10hrs) </span></p>
<p><span style=""color: rgb(255, 0, 0);"">&yen;3000 / Half day(5 hrs) <br />
<br />
&yen;350 / Hrs(超时、搭建)</span><br />
<br />
影视拍摄 Video shooting<br />
<br />
<span style=""color: rgb(255, 0, 0);"">&yen;4000 / Day(10hrs) </span></p>
<p><span style=""color: rgb(255, 0, 0);"">&yen;3500 / Half day(5 hrs) <br />
<br />
&yen;400 / Hrs(超时、搭建)</span></p>
<p><br />
Air conditioner/冷暖空调<br />
<br />
Makeup area/化妆区域<br />
<br />
Meeting area/休息区域<br />
<br />
Coffee machine/咖啡机<br />
<br />
Power 380V/220V<br />
<br />
WIFI/无线网络<br />
<br />
&nbsp; <br />
All rates is not including tax , will add 10% if VAT FAPIAO is needed.<br />
<br />
所有的报价均不包含增值税税金,如需开具增值税发票,将额外收取10%的税金。<br />
<br />
Flat shooting free equipment:C-Stand、2 Super boom、6 JinBei、Equipment accessory.<br />
<br />
免费提供的器材:c形灯架、2个挑杆、6个国产灯,各类灯具附件。 <br />
<br />
<br />
<span style=""color: rgb(255, 102, 0);"">Studio515 AB棚地址：上海市静安区洛川中路840号E构空间创意园D栋4楼 （近普善路 ）</span> 影棚位于上海市区内环边上 地铁1号线延长路站 交通十分便利。<br />
<br />
租赁联系：13818198787&nbsp; Yuki</p>
<p><br />
<br />
<img src=""/A_UpLoad//2016011822484560.jpg"" alt="""" width=""650"" height=""460"" /><br />
<br />
<img src=""/A_UpLoad//2014052117540115.jpg"" alt="""" width=""650"" height=""432"" /><br />
<br />
<img src=""/A_UpLoad//2014052118125781.jpg"" alt="""" width=""650"" height=""432"" /><br />
<br />
<img alt="""" src=""/A_UpLoad//2016011911563020.jpg"" width=""650"" height=""432"" /><br />
<br />
<img src=""/A_UpLoad//2014052117485088.jpg"" alt="""" width=""650"" height=""432"" /><br />
<br />
<img src=""/A_UpLoad//2016011911581557.jpg"" alt="""" width=""650"" height=""432"" /><br />
<br />
<br />
<span style=""font-size: small;"">Studio C：</span></p>
<p><span style=""font-size: small;"">L8.5m * W22.2m * H6.2m 260m&sup2; ( 4F / 四层 ) L8.5m * W8.5m * H6.2m Arc cyclorama 弧形无影墙<br />
<br />
平面拍摄 Picture shooting<br />
<span style=""color: rgb(255, 0, 0);""><br />
&yen;3000 / Day(10hrs)<br />
<br />
&yen;2500 / Half day(5 hrs) <br />
<br />
&yen;300 / Hrs(超时、搭建)</span><br />
<br />
影视拍摄 Video shooting<br />
<br />
</span><span style=""color: rgb(255, 0, 0);""><span style=""font-size: small;"">&yen;3500 / Day(10hrs)<br />
<br />
&yen;3000 / Half day(5 hrs)<br />
<br />
&yen;350 / Hrs(超时、搭建)<br />
</span></span><br />
<br />
Air conditioner/冷暖空调<br />
<br />
Makeup area/化妆区域<br />
<br />
Meeting area/休息区域<br />
<br />
Coffee machine/咖啡机<br />
<br />
Power 380V/220V<br />
<br />
WIFI/无线网络<br />
<br />
<br />
All rates is not including tax , will add 10% if VAT FAPIAO is needed.<br />
<br />
所有的报价均不包含增值税税金,如需开具增值税发票,将额外收取10%的税金。<br />
<br />
Flat shooting free equipment:C-Stand、2 Super boom、6 JinBei、Equipment accessory.<br />
<br />
免费提供的器材:c形灯架、2个挑杆、6个国产灯,各类灯具附件。</p>
<p><br />
<span style=""color: rgb(255, 102, 0);"">Studio515 C棚地址：上海市静安区洛川中路1158号名仕街B1北2 5层515室 （近沪太路 ）</span> 影棚位于上海市区内环边上 地铁1号线延长路站 交通十分便利。<br />
<br />
租赁联系：13818198787&nbsp; Yuki</p>
<p>&nbsp;</p>
<p style=""text-align: left""><img src=""/A_UpLoad//2016011823041835.jpg"" width=""500"" height=""1000"" alt="""" /><br />
<br />
<img src=""/A_UpLoad//2016011823132963.JPG"" alt="""" width=""650"" height=""447"" /><br />
<br />
<img src=""/A_UpLoad//2016011823045846.JPG"" alt="""" width=""650"" height=""464"" /><br />
<br />
<img src=""/A_UpLoad//2016011823052271.JPG"" alt="""" width=""650"" height=""432"" /><br />
<br />
<img src=""/A_UpLoad//2016011823065410.jpg"" alt="""" width=""650"" height=""381"" /><br />
<br />
<img src=""/A_UpLoad//2016011823053826.JPG"" alt="""" width=""650"" height=""432"" /><br />
<br />
<img src=""/A_UpLoad//2016011823062412.JPG"" alt="""" width=""650"" height=""432"" /></p>","515workshop",0,0,0,0,"2012/3/14, 11:48:05",5,0,0,0,0,,,,10
148,"AK",452,527,0,,,,"《小资风尚》杂志台湾艺人拍摄 摄影棚 515 摄影 Yuki_He 化妆 YY","<p><img src=""/A_UpLoad/image/2012032123380094.jpg"" width=""700"" height=""1555"" alt="""" /></p>","515",0,0,0,0,"2012/3/19, 21:02:20",20,0,0,0,0,,,,10
152,"SARAH JESSICA PARKER",452,527,0,,,,"Femina杂志 欲望都市女主角SARAH JESSICA PARKER跟拍 摄影 Yuki_He","<p><img src=""/A_UpLoad/image/2012032018462615.jpg"" width=""700"" height=""742"" alt="""" /></p>","515",0,0,0,0,"2012/3/20, 18:49:34",13,0,0,0,0,,,,10
153,"HONG",452,531,0,,,,"Chinajoy网络红人 朱弘  摄影 Yuki_He 化妆 陈菲菲","<p><img width=""900"" height=""453"" alt="""" src=""/A_UpLoad/image/2012032019274861.jpg"" /></p>","515",0,0,0,0,"2012/3/20, 19:18:11",3,0,0,0,0,,,,10
